Airline,Date_of_Journey,Source,Destination,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple Carriers,2019-06-01,Delhi,Cochin,07:05:00,16:10:00,545,1,No Info,9646
SpiceJet,2019-06-09,Banglore,Delhi,05:55:00,08:35:00,160,0,No Info,3625
Multiple Carriers,2019-05-18,Delhi,Cochin,13:15:00,22:30:00,555,1,No Info,11188
Air India,2019-03-09,Banglore,New Delhi,10:30:00,21:25:00,655,2,No Info,9586
Air India,2019-06-24,Delhi,Cochin,12:00:00,07:40:00,1180,2,No Info,9548
Jet Airways,2019-06-03,Delhi,Cochin,16:00:00,12:35:00,1235,1,No Info,14714
IndiGo,2019-05-06,Kolkata,Banglore,09:20:00,14:15:00,295,1,No Info,11319
Jet Airways,2019-05-09,Delhi,Cochin,13:00:00,04:25:00,925,1,In-flight meal not included,12373
Multiple Carriers,2019-03-09,Delhi,Cochin,09:45:00,21:20:00,695,2,No Info,10090
IndiGo,2019-03-09,Delhi,Cochin,16:00:00,01:35:00,575,1,No Info,13611
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,19:00:00,560,2,No Info,13014
Air India,2019-03-21,Delhi,Cochin,06:10:00,23:00:00,1010,1,No Info,5704
Jet Airways,2019-06-09,Kolkata,Banglore,06:30:00,12:00:00,330,1,In-flight meal not included,10844
Air India,2019-05-15,Delhi,Cochin,05:00:00,07:40:00,1600,2,No Info,11281
SpiceJet,2019-04-06,Kolkata,Banglore,17:10:00,19:40:00,150,0,No check-in baggage included,3841
Air India,2019-03-15,Chennai,Kolkata,11:40:00,13:55:00,135,0,No Info,7082
IndiGo,2019-05-24,Delhi,Cochin,18:35:00,01:30:00,415,1,No Info,7503
Multiple Carriers,2019-06-06,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,13377
IndiGo,2019-03-21,Mumbai,Hyderabad,19:05:00,20:30:00,85,0,No Info,2754
Air Asia,2019-04-18,Kolkata,Banglore,10:20:00,12:55:00,155,0,No Info,4409
Air India,2019-06-27,Delhi,Cochin,12:00:00,19:15:00,435,2,No Info,8603
Jet Airways,2019-04-24,Banglore,Delhi,11:10:00,14:05:00,175,0,In-flight meal not included,4544
IndiGo,2019-05-12,Kolkata,Banglore,04:50:00,09:50:00,300,1,No Info,4176
Air India,2019-05-15,Delhi,Cochin,17:15:00,19:15:00,1560,2,No Info,13022
Multiple Carriers,2019-03-21,Delhi,Cochin,18:15:00,01:35:00,440,1,No Info,13542
Jet Airways,2019-03-24,Kolkata,Banglore,19:45:00,19:40:00,1435,1,No Info,13759
Air India,2019-03-21,Delhi,Cochin,18:05:00,21:10:00,185,0,No Info,5674
IndiGo,2019-06-03,Chennai,Kolkata,19:35:00,21:55:00,140,0,No Info,3597
SpiceJet,2019-06-27,Delhi,Cochin,08:45:00,13:15:00,270,1,No check-in baggage included,4760
Jet Airways,2019-03-06,Delhi,Cochin,13:00:00,18:50:00,350,1,No Info,17024
Air India,2019-06-06,Kolkata,Banglore,09:25:00,18:30:00,545,1,No Info,8366
Air India,2019-06-06,Kolkata,Banglore,14:30:00,08:55:00,1105,2,No Info,15894
Multiple Carriers,2019-05-15,Delhi,Cochin,13:00:00,01:30:00,750,1,No Info,13727
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,11:25:00,1280,1,In-flight meal not included,7832
IndiGo,2019-03-15,Chennai,Kolkata,07:55:00,10:15:00,140,0,No Info,6297
IndiGo,2019-04-06,Kolkata,Banglore,06:15:00,10:30:00,255,1,No Info,4226
IndiGo,2019-06-21,Kolkata,Banglore,21:25:00,00:05:00,160,0,No Info,4804
IndiGo,2019-06-01,Delhi,Cochin,06:50:00,12:10:00,320,1,No Info,5298
Jet Airways,2019-05-01,Banglore,Delhi,11:10:00,14:05:00,175,0,No Info,7229
Jet Airways,2019-05-21,Kolkata,Banglore,20:00:00,09:20:00,800,1,In-flight meal not included,10844
Jet Airways,2019-06-12,Delhi,Cochin,11:45:00,04:25:00,1000,2,No Info,13882
IndiGo,2019-06-15,Banglore,Delhi,18:25:00,21:20:00,175,0,No Info,4823
IndiGo,2019-05-18,Delhi,Cochin,06:50:00,12:10:00,320,1,No Info,6347
IndiGo,2019-06-12,Delhi,Cochin,23:30:00,04:35:00,305,1,No Info,10112
Jet Airways,2019-06-24,Delhi,Cochin,23:05:00,12:35:00,810,2,No Info,12819
Jet Airways,2019-05-21,Kolkata,Banglore,06:30:00,16:20:00,590,1,No Info,14781
IndiGo,2019-04-06,Kolkata,Banglore,11:30:00,14:05:00,155,0,No Info,4174
Jet Airways,2019-06-03,Delhi,Cochin,15:00:00,04:25:00,805,1,No Info,14714
Jet Airways,2019-06-06,Kolkata,Banglore,09:35:00,18:00:00,505,1,No Info,12692
